datetime,out_humidity,out_temperature,in_dht11_humidity,in_dht11_temperature,in_dht22_humidity,in_dht22_temperature
2015-07-10T23:11:00,1.0,17.3,49.0,19.0,87.1,21.3
2015-07-10T23:12:00,1.0,17.3,49.0,19.0,87.1,21.3
2015-07-10T23:13:00,1.0,17.3,49.0,19.0,87.8,21.3
2015-07-10T23:14:00,1.0,17.2,49.0,19.0,87.5,21.3
2015-07-10T23:15:00,1.0,17.3,49.0,19.0,87.5,21.3
2015-07-10T23:16:00,1.0,17.2,49.0,19.0,87.7,21.3
2015-07-10T23:17:00,1.0,17.2,49.0,19.0,87.5,21.3
2015-07-10T23:18:00,1.0,17.3,48.0,19.0,87.6,21.3
2015-07-10T23:19:00,1.0,17.1,49.0,19.0,87.5,21.3
2015-07-10T23:20:00,1.0,17.0,48.0,19.0,87.4,21.3
2015-07-10T23:21:00,1.0,17.0,48.0,19.0,87.5,21.3
2015-07-10T23:22:00,1.0,17.0,48.0,19.0,87.4,21.2
2015-07-10T23:23:00,1.0,17.0,48.0,19.0,87.2,21.2
2015-07-10T23:24:00,1.0,17.1,48.0,19.0,87.4,21.2
2015-07-10T23:25:00,1.0,17.1,48.0,19.0,87.4,21.2
2015-07-10T23:26:00,1.0,17.1,48.0,19.0,87.2,21.2
2015-07-10T23:27:00,1.0,17.2,48.0,19.0,87.1,21.2
2015-07-10T23:28:00,1.0,17.3,48.0,19.0,87.0,21.2
2015-07-10T23:29:00,1.0,17.2,48.0,19.0,87.2,21.2
2015-07-10T23:30:00,1.0,17.2,48.0,19.0,87.0,21.2
2015-07-10T23:31:00,1.0,17.1,48.0,19.0,87.0,21.2
2015-07-10T23:32:00,1.0,17.1,48.0,19.0,87.0,21.2
2015-07-10T23:33:00,1.0,17.1,48.0,19.0,87.0,21.2
2015-07-10T23:34:00,1.0,17.2,48.0,19.0,87.1,21.2
2015-07-10T23:35:00,1.0,17.2,48.0,19.0,86.7,21.2
2015-07-10T23:36:00,1.0,17.3,48.0,19.0,87.0,21.2
2015-07-10T23:37:00,1.0,17.3,48.0,19.0,86.9,21.2
2015-07-10T23:38:00,1.0,17.4,48.0,19.0,86.8,21.2
2015-07-10T23:39:00,1.0,17.3,48.0,19.0,86.8,21.2
2015-07-10T23:40:00,1.0,17.3,47.0,19.0,86.7,21.2
2015-07-10T23:41:00,1.0,17.3,47.0,19.0,86.7,21.2
2015-07-10T23:42:00,1.0,17.3,47.0,19.0,86.7,21.2
2015-07-10T23:43:00,1.0,17.3,47.0,19.0,86.3,21.2
2015-07-10T23:44:00,1.0,17.2,47.0,19.0,86.1,21.2
2015-07-10T23:45:00,1.0,17.1,47.0,19.0,86.3,21.2
2015-07-10T23:46:00,1.0,17.1,47.0,19.0,86.3,21.2
2015-07-10T23:47:00,1.0,17.0,47.0,19.0,86.0,21.1
2015-07-10T23:48:00,1.0,16.9,47.0,19.0,86.3,21.1
2015-07-10T23:49:00,1.0,17.0,47.0,19.0,86.3,21.1
2015-07-10T23:50:00,1.0,17.0,47.0,19.0,86.4,21.1
2015-07-10T23:51:00,1.0,17.1,47.0,19.0,86.6,21.1
2015-07-10T23:52:00,1.0,17.2,47.0,19.0,86.5,21.1
2015-07-10T23:53:00,1.0,17.2,47.0,19.0,86.2,21.2
2015-07-10T23:54:00,1.0,17.1,47.0,19.0,86.3,21.1
2015-07-10T23:55:00,1.0,16.9,47.0,19.0,85.9,21.1
2015-07-10T23:56:00,1.0,16.9,47.0,19.0,86.4,21.1
2015-07-10T23:57:00,1.0,17.0,47.0,19.0,86.5,21.1
2015-07-10T23:58:00,1.0,17.0,47.0,19.0,86.3,21.1
2015-07-10T23:59:00,1.0,17.0,47.0,19.0,85.9,21.0
