datetime,out_temperature_min,out_temperature_mean,out_temperature_max
2015-01-18T00:00:00,0.00,14.67,16.40
2015-01-19T00:00:00,13.40,14.67,15.70
2015-01-20T00:00:00,12.50,14.30,16.30
2015-01-21T00:00:00,12.20,13.88,16.00
2015-01-22T00:00:00,9.60,11.91,13.60
2015-01-23T00:00:00,10.80,13.74,16.80
2015-01-24T00:00:00,11.90,13.92,15.60
2015-01-25T00:00:00,9.10,12.70,16.20
2015-01-26T00:00:00,11.50,14.48,17.20
2015-01-27T00:00:00,15.50,17.36,19.40
2015-01-28T00:00:00,13.70,15.65,18.00
2015-01-29T00:00:00,13.10,15.07,17.90
2015-01-30T00:00:00,13.00,14.39,16.90
2015-01-31T00:00:00,13.90,16.89,20.30
2015-02-01T00:00:00,13.60,15.53,18.10
2015-02-02T00:00:00,13.10,15.77,18.50
2015-02-03T00:00:00,14.40,16.55,19.30
2015-02-04T00:00:00,14.20,15.77,18.40
2015-02-05T00:00:00,13.40,15.75,18.40
2015-02-06T00:00:00,15.40,16.58,17.70
2015-02-07T00:00:00,16.30,17.70,20.50
2015-02-08T00:00:00,14.90,16.73,19.00
2015-02-09T00:00:00,14.30,16.23,18.90
2015-02-10T00:00:00,12.10,14.37,16.80
2015-02-11T00:00:00,11.80,14.89,18.00
2015-02-12T00:00:00,13.50,16.23,19.00
2015-02-13T00:00:00,14.10,16.98,19.70
2015-02-14T00:00:00,14.10,17.11,19.80
2015-02-15T00:00:00,14.20,17.68,20.80
2015-02-16T00:00:00,14.60,16.57,19.50
2015-02-17T00:00:00,14.10,15.04,16.50
2015-02-18T00:00:00,13.70,15.00,16.70
2015-02-19T00:00:00,13.90,14.96,17.10
2015-02-20T00:00:00,13.10,15.05,17.50
2015-02-21T00:00:00,12.80,15.00,18.10
2015-02-22T00:00:00,12.70,15.15,17.10
2015-02-23T00:00:00,12.10,14.09,15.70
2015-02-24T00:00:00,12.10,14.51,17.40
2015-02-25T00:00:00,12.80,14.86,18.50
2015-02-26T00:00:00,13.60,15.88,19.20
2015-02-27T00:00:00,12.50,inf,inf
2015-02-28T00:00:00,12.20,13.89,16.20
2015-03-01T00:00:00,12.30,14.17,16.50
2015-03-02T00:00:00,12.90,14.49,17.30
2015-03-03T00:00:00,11.80,14.13,16.80
2015-03-04T00:00:00,12.50,14.98,17.60
2015-03-05T00:00:00,12.30,15.67,18.50
2015-03-06T00:00:00,12.40,15.73,19.20
2015-03-07T00:00:00,13.70,16.39,20.60
2015-03-08T00:00:00,12.40,14.80,18.10
2015-03-09T00:00:00,12.20,14.46,17.80
2015-03-10T00:00:00,12.60,14.67,18.00
2015-03-11T00:00:00,14.50,16.25,19.80
2015-03-12T00:00:00,13.70,16.17,19.80
2015-03-13T00:00:00,14.00,17.36,22.10
2015-03-14T00:00:00,15.90,19.63,24.30
2015-03-15T00:00:00,16.80,19.00,22.00
2015-03-16T00:00:00,16.10,18.11,21.50
2015-03-17T00:00:00,13.70,15.94,18.70
2015-03-18T00:00:00,13.50,15.75,19.60
2015-03-19T00:00:00,13.60,16.14,20.60
2015-03-20T00:00:00,13.40,15.50,19.90
2015-03-21T00:00:00,13.60,15.60,19.60
2015-03-22T00:00:00,13.90,16.06,19.50
2015-03-23T00:00:00,13.30,15.04,18.30
2015-03-24T00:00:00,13.20,15.54,19.90
2015-03-25T00:00:00,13.50,16.10,20.50
2015-03-26T00:00:00,13.20,17.29,22.90
2015-03-27T00:00:00,12.60,14.83,18.30
2015-03-28T00:00:00,13.00,15.93,20.60
2015-03-29T00:00:00,12.60,15.68,20.90
2015-03-30T00:00:00,12.90,14.85,18.70
2015-03-31T00:00:00,12.60,14.94,19.30
2015-04-01T00:00:00,11.80,14.11,18.10
2015-04-02T00:00:00,12.20,14.60,18.10
2015-04-03T00:00:00,11.60,14.52,19.00
2015-04-04T00:00:00,11.10,13.38,17.80
2015-04-05T00:00:00,10.50,12.58,16.10
2015-04-06T00:00:00,10.20,13.03,16.60
2015-04-07T00:00:00,10.00,12.68,16.80
2015-04-08T00:00:00,10.70,12.63,15.00
2015-04-09T00:00:00,10.50,13.66,17.10
2015-04-10T00:00:00,11.70,14.38,18.80
2015-04-11T00:00:00,12.20,15.20,20.00
2015-04-12T00:00:00,12.60,15.99,20.80
2015-04-13T00:00:00,12.10,14.02,17.30
2015-04-14T00:00:00,9.80,13.16,16.70
2015-04-15T00:00:00,0.00,14.51,19.00
2015-04-16T00:00:00,14.70,17.67,23.10
2015-04-20T00:00:00,13.50,9.55,17.60
2015-04-21T00:00:00,12.10,13.56,15.30
2015-04-22T00:00:00,11.40,13.86,17.40
2015-04-23T00:00:00,10.80,13.86,18.40
2015-04-24T00:00:00,11.80,14.20,18.50
2015-04-25T00:00:00,11.80,14.13,18.40
2015-04-26T00:00:00,12.20,15.24,20.20
2015-04-27T00:00:00,12.70,16.50,24.10
2015-04-28T00:00:00,12.20,14.44,18.20
2015-04-29T00:00:00,11.20,14.46,19.10
2015-04-30T00:00:00,13.20,19.03,25.10
2015-05-01T00:00:00,14.40,17.39,21.40
2015-05-02T00:00:00,13.00,15.35,19.70
2015-05-03T00:00:00,12.60,14.81,18.60
2015-05-04T00:00:00,11.80,13.59,16.80
2015-05-05T00:00:00,11.50,14.19,18.40
2015-05-06T00:00:00,10.90,14.25,19.10
2015-05-07T00:00:00,11.70,14.67,18.60
2015-05-08T00:00:00,11.70,14.36,19.10
2015-05-09T00:00:00,12.00,13.72,16.80
2015-05-10T00:00:00,11.50,13.32,16.80
2015-05-11T00:00:00,11.00,13.64,17.50
2015-05-12T00:00:00,10.30,13.56,24.30
2015-05-13T00:00:00,11.30,14.22,17.70
2015-05-14T00:00:00,13.10,15.75,20.10
2015-05-15T00:00:00,12.20,14.50,21.70
2015-05-16T00:00:00,11.90,14.30,18.50
2015-05-17T00:00:00,12.40,14.30,17.90
2015-05-18T00:00:00,12.50,14.33,17.80
2015-05-19T00:00:00,12.80,14.76,19.20
2015-05-20T00:00:00,12.90,14.77,18.50
2015-05-21T00:00:00,12.60,15.88,21.30
2015-05-22T00:00:00,13.50,15.78,19.60
2015-05-23T00:00:00,13.20,15.05,19.40
2015-05-24T00:00:00,12.10,14.04,17.00
2015-05-25T00:00:00,12.50,inf,inf
2015-05-26T00:00:00,13.00,15.57,20.00
2015-05-27T00:00:00,12.70,14.63,18.40
2015-05-28T00:00:00,11.90,13.91,17.90
2015-05-29T00:00:00,12.00,14.02,17.40
2015-05-30T00:00:00,11.40,14.25,18.60
2015-05-31T00:00:00,12.00,14.94,18.70
2015-06-01T00:00:00,13.70,16.78,22.60
2015-06-02T00:00:00,14.40,16.98,26.00
2015-06-03T00:00:00,13.10,16.93,31.30
2015-06-04T00:00:00,12.70,16.56,29.50
2015-06-05T00:00:00,13.40,17.19,31.40
2015-06-06T00:00:00,14.50,17.19,21.40
2015-06-07T00:00:00,14.20,16.64,21.40
2015-06-08T00:00:00,13.50,19.13,34.00
2015-06-09T00:00:00,14.10,19.19,31.70
2015-06-10T00:00:00,15.80,17.79,20.10
2015-06-11T00:00:00,14.50,18.22,32.20
2015-06-12T00:00:00,14.50,18.69,34.00
2015-06-13T00:00:00,15.00,17.89,22.40
2015-06-14T00:00:00,14.40,16.22,20.90
2015-06-15T00:00:00,13.70,15.66,19.40
2015-06-16T00:00:00,13.40,15.81,24.10
2015-06-17T00:00:00,13.10,16.14,29.00
2015-06-18T00:00:00,13.20,15.28,20.10
2015-06-19T00:00:00,12.40,16.14,30.20
2015-06-20T00:00:00,12.70,15.60,19.90
2015-06-21T00:00:00,13.70,15.79,20.10
2015-06-22T00:00:00,13.70,15.14,18.70
2015-06-23T00:00:00,13.30,17.17,30.40
2015-06-24T00:00:00,13.40,17.58,31.30
2015-06-25T00:00:00,14.90,18.78,33.10
2015-06-26T00:00:00,15.20,18.19,27.90
2015-06-27T00:00:00,15.40,18.92,27.50
2015-06-28T00:00:00,16.60,19.08,23.10
2015-06-29T00:00:00,15.00,18.41,30.00
2015-06-30T00:00:00,15.10,19.42,32.70
2015-07-01T00:00:00,15.30,19.23,31.40
2015-07-02T00:00:00,15.80,18.53,25.00
2015-07-03T00:00:00,16.10,18.57,23.00
2015-07-04T00:00:00,16.20,18.70,22.70
2015-07-05T00:00:00,16.40,19.64,30.70
2015-07-06T00:00:00,16.30,19.34,26.60
2015-07-07T00:00:00,17.50,1.48,18.00
2015-07-10T00:00:00,16.90,0.71,17.40
2015-07-11T00:00:00,16.20,19.68,33.50
2015-07-12T00:00:00,17.30,20.46,33.60
2015-07-13T00:00:00,17.10,20.25,30.50
2015-07-14T00:00:00,16.70,18.55,22.40
2015-07-15T00:00:00,16.40,19.47,31.30
2015-07-16T00:00:00,17.10,19.57,30.50
2015-07-17T00:00:00,17.20,19.18,27.20
2015-07-18T00:00:00,17.00,19.70,28.20
2015-07-19T00:00:00,17.80,inf,inf
2015-07-20T00:00:00,18.40,22.14,35.00
2015-07-21T00:00:00,17.30,19.24,22.20
2015-07-22T00:00:00,17.10,18.81,22.10
2015-07-23T00:00:00,16.20,17.93,21.50
2015-07-24T00:00:00,15.30,18.56,30.70
2015-07-25T00:00:00,15.90,18.07,21.50
2015-07-26T00:00:00,16.00,17.96,22.10
2015-07-27T00:00:00,15.60,19.23,32.00
2015-07-28T00:00:00,16.20,20.58,31.80
2015-07-29T00:00:00,16.40,19.60,32.00
2015-07-30T00:00:00,17.50,19.16,23.00
2015-07-31T00:00:00,17.40,18.94,21.50
2015-08-01T00:00:00,17.70,19.91,23.80
2015-08-02T00:00:00,17.70,19.39,22.90
2015-08-03T00:00:00,17.90,19.81,23.50
2015-08-04T00:00:00,17.20,19.74,23.50
2015-08-05T00:00:00,17.10,19.60,23.70
2015-08-06T00:00:00,16.60,18.97,22.50
2015-08-07T00:00:00,16.60,19.46,23.40
2015-08-08T00:00:00,16.90,18.60,21.50
2015-08-09T00:00:00,16.60,18.72,22.70
2015-08-10T00:00:00,16.40,19.15,23.10
2015-08-11T00:00:00,16.70,18.70,23.00
2015-08-12T00:00:00,16.10,19.37,23.80
2015-08-13T00:00:00,17.50,19.64,23.00
2015-08-14T00:00:00,17.10,19.71,22.90
2015-08-15T00:00:00,18.00,21.48,27.80
2015-08-16T00:00:00,17.70,22.11,28.20
2015-08-17T00:00:00,17.20,19.78,23.90
2015-08-18T00:00:00,17.10,19.04,22.70
2015-08-19T00:00:00,17.40,18.87,22.10
2015-08-20T00:00:00,17.10,18.34,20.80
2015-08-21T00:00:00,16.60,17.94,20.80
2015-08-22T00:00:00,16.80,18.84,23.10
2015-08-23T00:00:00,17.40,19.13,22.30
2015-08-24T00:00:00,17.20,18.73,22.00
2015-08-25T00:00:00,16.70,18.15,21.30
2015-08-26T00:00:00,16.30,18.92,22.50
2015-08-27T00:00:00,16.80,20.45,25.00
2015-08-28T00:00:00,19.50,21.96,28.50
2015-08-29T00:00:00,19.00,20.73,23.70
2015-08-30T00:00:00,18.10,20.25,23.40
2015-08-31T00:00:00,17.50,19.76,23.70
2015-09-01T00:00:00,17.00,18.92,22.40
2015-09-02T00:00:00,17.10,inf,inf
2015-09-03T00:00:00,16.20,17.96,21.40
2015-09-04T00:00:00,14.60,17.23,20.80
2015-09-05T00:00:00,15.10,18.13,21.80
2015-09-06T00:00:00,16.80,19.85,25.20
2015-09-07T00:00:00,16.60,21.41,27.60
2015-09-08T00:00:00,19.70,12.08,28.30
2015-11-16T00:00:00,10.10,12.28,14.70
2015-11-17T00:00:00,11.40,13.51,15.60
2015-11-18T00:00:00,12.50,14.70,17.00
2015-11-19T00:00:00,12.90,15.13,17.30
2015-11-20T00:00:00,13.90,15.26,18.10
2015-11-21T00:00:00,13.30,15.85,18.60
2015-11-22T00:00:00,13.20,15.67,18.00
2015-11-23T00:00:00,12.50,13.95,15.50
2015-11-24T00:00:00,9.30,12.60,14.50
2015-11-25T00:00:00,8.70,9.90,10.90
2015-11-26T00:00:00,7.80,9.56,10.60
2015-11-27T00:00:00,8.60,10.03,11.60
2015-11-28T00:00:00,8.40,10.21,11.60
2015-11-29T00:00:00,8.90,10.40,11.90
2015-11-30T00:00:00,8.10,9.98,11.30
2015-12-01T00:00:00,9.20,11.20,13.10
2015-12-02T00:00:00,10.80,12.41,14.40
2015-12-03T00:00:00,11.30,13.16,16.00
2015-12-04T00:00:00,11.30,12.80,14.90
2015-12-05T00:00:00,10.00,11.95,13.70
2015-12-06T00:00:00,11.00,13.52,15.20
2015-12-07T00:00:00,13.90,15.07,16.10
2015-12-08T00:00:00,13.50,15.28,17.30
2015-12-09T00:00:00,13.80,15.85,17.70
2015-12-10T00:00:00,11.40,15.03,17.20
2015-12-11T00:00:00,9.60,12.36,14.90
2015-12-12T00:00:00,10.40,12.73,14.70
2015-12-13T00:00:00,9.60,11.78,13.50
2015-12-14T00:00:00,8.60,10.42,12.00
2015-12-15T00:00:00,8.50,10.53,12.60
2015-12-16T00:00:00,8.50,10.44,11.60
2015-12-17T00:00:00,9.00,11.64,13.60
2015-12-18T00:00:00,9.80,11.97,14.60
2015-12-19T00:00:00,10.50,11.67,14.00
2015-12-20T00:00:00,9.40,inf,inf
2015-12-21T00:00:00,10.30,12.82,14.00
2015-12-22T00:00:00,11.80,13.97,15.60
2015-12-23T00:00:00,10.30,11.75,13.70
2015-12-24T00:00:00,8.70,10.53,12.50
2015-12-25T00:00:00,8.20,9.26,11.00
2015-12-26T00:00:00,7.20,8.60,10.40
2015-12-27T00:00:00,5.60,7.59,8.60
2015-12-28T00:00:00,5.20,7.53,9.70
2015-12-29T00:00:00,7.70,9.26,11.00
2015-12-30T00:00:00,7.30,5.52,9.80
