datetime,out_humidity,out_temperature,in_dht11_humidity,in_dht11_temperature,in_dht22_humidity,in_dht22_temperature
2015-06-05T00:00:00,71.0,14.7,32.0,18.0,62.9,20.1
2015-06-05T00:01:00,70.7,14.7,32.0,18.0,63.0,20.1
2015-06-05T00:02:00,70.8,14.7,32.0,18.0,63.0,20.1
2015-06-05T00:03:00,70.8,14.7,32.0,18.0,63.0,20.0
2015-06-05T00:04:00,70.9,14.7,32.0,18.0,63.2,20.1
2015-06-05T00:05:00,70.8,14.6,32.0,18.0,63.2,20.1
2015-06-05T00:06:00,70.9,14.6,32.0,18.0,63.0,20.1
2015-06-05T00:07:00,71.1,14.7,32.0,18.0,62.8,20.2
2015-06-05T00:08:00,70.8,14.7,32.0,18.0,62.9,20.1
2015-06-05T00:09:00,71.0,14.7,32.0,18.0,62.8,20.1
2015-06-05T00:10:00,71.1,14.7,32.0,18.0,62.9,20.1
2015-06-05T00:11:00,71.2,14.6,32.0,18.0,63.1,20.1
2015-06-05T00:12:00,71.4,14.6,32.0,18.0,63.2,20.1
2015-06-05T00:13:00,71.8,14.5,32.0,18.0,63.1,20.0
2015-06-05T00:14:00,72.0,14.4,32.0,18.0,63.2,20.0
2015-06-05T00:15:00,72.4,14.3,32.0,18.0,63.4,19.9
2015-06-05T00:16:00,72.4,14.3,32.0,18.0,63.3,20.0
2015-06-05T00:17:00,72.3,14.3,32.0,18.0,63.3,20.1
2015-06-05T00:18:00,72.3,14.3,32.0,18.0,63.2,20.1
2015-06-05T00:19:00,72.2,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:20:00,72.0,14.4,32.0,18.0,63.0,20.0
2015-06-05T00:21:00,72.0,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:22:00,71.9,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:23:00,72.0,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:24:00,71.9,14.4,32.0,18.0,63.2,19.9
2015-06-05T00:25:00,72.2,14.3,32.0,18.0,63.4,20.0
2015-06-05T00:26:00,72.0,14.4,32.0,18.0,63.4,20.0
2015-06-05T00:27:00,71.9,14.5,32.0,18.0,63.3,19.9
2015-06-05T00:28:00,71.7,14.5,32.0,18.0,63.3,20.0
2015-06-05T00:29:00,71.7,14.4,32.0,18.0,63.2,20.0
2015-06-05T00:30:00,71.8,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:31:00,72.2,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:32:00,72.2,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:33:00,72.0,14.4,32.0,18.0,63.2,19.9
2015-06-05T00:34:00,72.2,14.4,32.0,18.0,63.4,20.0
2015-06-05T00:35:00,72.3,14.4,32.0,18.0,63.4,19.9
2015-06-05T00:36:00,72.6,14.3,32.0,18.0,63.5,19.9
2015-06-05T00:37:00,72.5,14.3,32.0,18.0,63.6,19.9
2015-06-05T00:38:00,72.6,14.4,32.0,18.0,63.4,19.9
2015-06-05T00:39:00,72.4,14.4,32.0,18.0,63.3,19.9
2015-06-05T00:40:00,72.2,14.4,32.0,18.0,63.2,20.0
2015-06-05T00:41:00,72.1,14.4,32.0,18.0,63.2,20.0
2015-06-05T00:42:00,72.2,14.4,32.0,18.0,63.2,20.0
2015-06-05T00:43:00,72.3,14.5,32.0,18.0,63.3,19.9
2015-06-05T00:44:00,72.3,14.5,32.0,18.0,63.3,19.9
2015-06-05T00:45:00,72.1,14.4,32.0,18.0,63.4,19.9
2015-06-05T00:46:00,72.3,14.5,32.0,18.0,63.5,19.9
2015-06-05T00:47:00,72.2,14.4,32.0,18.0,63.4,19.9
2015-06-05T00:48:00,72.2,14.4,32.0,18.0,63.6,19.9
2015-06-05T00:49:00,72.5,14.4,32.0,18.0,63.4,20.0
2015-06-05T00:50:00,73.1,14.3,32.0,18.0,63.4,19.9
2015-06-05T00:51:00,72.8,14.4,32.0,18.0,63.2,20.0
2015-06-05T00:52:00,72.5,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:53:00,72.6,14.4,32.0,18.0,63.1,20.0
2015-06-05T00:54:00,72.5,14.3,32.0,18.0,63.2,19.9
