datetime,out_temperature_min,out_temperature_mean,out_temperature_max
2015-01-18T00:00:00,14.10,14.33,14.50
2015-01-18T01:00:00,14.30,14.47,14.80
2015-01-18T02:00:00,0.00,13.83,14.50
2015-01-18T03:00:00,13.70,13.83,14.00
2015-01-18T04:00:00,13.70,13.86,14.20
2015-01-18T05:00:00,13.40,13.55,13.70
2015-01-18T06:00:00,12.90,13.27,13.60
2015-01-18T07:00:00,12.70,12.94,13.10
2015-01-18T08:00:00,12.70,13.23,13.40
2015-01-18T09:00:00,13.30,13.62,14.10
2015-01-18T10:00:00,13.70,13.97,14.20
2015-01-18T11:00:00,13.80,14.43,14.90
2015-01-18T12:00:00,14.20,14.64,15.00
2015-01-18T13:00:00,14.60,14.81,15.10
2015-01-18T14:00:00,14.80,15.08,15.50
2015-01-18T15:00:00,15.50,15.80,16.10
2015-01-18T16:00:00,16.10,16.19,16.30
2015-01-18T17:00:00,15.80,16.15,16.40
2015-01-18T18:00:00,15.50,15.64,16.00
2015-01-18T19:00:00,15.70,15.97,16.20
2015-01-18T20:00:00,15.80,15.97,16.30
2015-01-18T21:00:00,15.10,15.38,15.80
2015-01-18T22:00:00,15.50,15.71,15.80
2015-01-18T23:00:00,14.90,15.32,15.70
2015-01-19T00:00:00,14.80,15.07,15.30
2015-01-19T01:00:00,14.20,14.62,14.90
2015-01-19T02:00:00,13.80,14.11,14.40
2015-01-19T03:00:00,14.20,14.45,14.70
2015-01-19T04:00:00,14.20,14.45,14.70
2015-01-19T05:00:00,13.80,14.08,14.40
2015-01-19T06:00:00,13.80,14.04,14.20
2015-01-19T07:00:00,13.40,13.69,14.10
2015-01-19T08:00:00,13.80,14.03,14.80
2015-01-19T09:00:00,13.70,14.25,15.00
2015-01-19T10:00:00,13.90,14.35,14.70
2015-01-19T11:00:00,14.50,14.82,15.10
2015-01-19T12:00:00,14.40,14.62,15.00
2015-01-19T13:00:00,14.50,14.82,15.10
2015-01-19T14:00:00,14.40,14.82,15.30
2015-01-19T15:00:00,15.30,15.52,15.70
2015-01-19T16:00:00,15.40,15.62,15.70
2015-01-19T17:00:00,14.90,15.27,15.50
2015-01-19T18:00:00,14.90,15.11,15.30
2015-01-19T19:00:00,14.80,15.16,15.30
2015-01-19T20:00:00,14.90,15.05,15.20
2015-01-19T21:00:00,14.60,14.98,15.40
2015-01-19T22:00:00,14.20,14.55,14.80
2015-01-19T23:00:00,14.10,14.52,14.80
2015-01-20T00:00:00,13.90,14.15,14.40
2015-01-20T01:00:00,13.90,14.24,14.50
2015-01-20T02:00:00,13.50,13.85,14.00
2015-01-20T03:00:00,13.30,13.54,13.80
2015-01-20T04:00:00,12.90,13.20,13.60
2015-01-20T05:00:00,12.70,12.95,13.10
2015-01-20T06:00:00,12.70,12.90,13.10
2015-01-20T07:00:00,12.60,12.76,13.00
2015-01-20T08:00:00,12.50,12.72,13.10
2015-01-20T09:00:00,12.60,13.16,14.00
2015-01-20T10:00:00,13.60,14.07,14.70
2015-01-20T11:00:00,13.90,14.54,15.30
2015-01-20T12:00:00,14.80,15.17,15.60
2015-01-20T13:00:00,15.20,15.72,16.00
2015-01-20T14:00:00,15.90,16.12,16.30
2015-01-20T15:00:00,15.90,16.10,16.20
2015-01-20T16:00:00,15.30,15.73,16.10
2015-01-20T17:00:00,14.60,14.98,15.50
